full_name,sport_name,current_club_name,club_division_level,notes
Pedro Rocha Neves,Pedro Rocha,Coritiba,1,CBF Serie A 2026 roster
Maicon Pereira Roque,Maicon,Coritiba,1,CBF Serie A 2026 roster
Joao Victor Silva Benassi,Benassi,Coritiba,1,CBF Serie A 2026 roster
Pedro Luccas Morisco da Silva,Pedro Morisco,Coritiba,1,CBF Serie A 2026 roster
Vinicius Romualdo dos Santos,Vini Paulista,Coritiba,1,CBF Serie A 2026 roster
Otavio Eleodoro Rezende Costa,Otavio,Cruzeiro,1,CBF Serie A 2026 roster
Murilo Rhikman Alves Pimentel,Murilo,Cruzeiro,1,CBF Serie A 2026 roster
Lucas Silva Borges,Lucas Silva,Cruzeiro,1,CBF Serie A 2026 roster
Jose Janderson da Silva Marques,JOSE,Cruzeiro,1,CBF Serie A 2026 roster
Fabricio Bruno Soares de Faria,Fabricio Bruno,Cruzeiro,1,CBF Serie A 2026 roster
Lucas Hernan Villalba,Villalba,Cruzeiro,1,CBF Serie A 2026 roster
Luis Fernando Sinisterra Lucumi,Sinisterra,Cruzeiro,1,CBF Serie A 2026 roster
Joao Wellington Gadelha Melo de Oliveira,JAPA,Cruzeiro,1,CBF Serie A 2026 roster
Keny Alexander Arroyo Alvarado,Arroyo,Cruzeiro,1,CBF Serie A 2026 roster
Gerson Santos da Silva,Gerson,Cruzeiro,1,CBF Serie A 2026 roster
Francisco Dyogo Bento Alves,Dyogo,Flamengo,1,CBF Serie A 2026 roster
Andrew da Silva Ventura,Andrew,Flamengo,1,CBF Serie A 2026 roster
Danilo Luiz da Silva,Danilo,Flamengo,1,CBF Serie A 2026 roster
Everton Sousa Soares,Everton,Flamengo,1,CBF Serie A 2026 roster
Alex Sandro Lobo Silva,Alex Sandro,Flamengo,1,CBF Serie A 2026 roster
Jorge Luiz Frello Filho,Jorge,Flamengo,1,CBF Serie A 2026 roster
Saul Niguez Esclapez,Saul,Flamengo,1,CBF Serie A 2026 roster
Diego Nicolas de La Cruz Arcosa,DE LA CRUZ,Flamengo,1,CBF Serie A 2026 roster
Leonardo Pereira,Leo Pereira,Flamengo,1,CBF Serie A 2026 roster
Lucas Tolentino Coelho de Lima,Lucas Paqueta,Flamengo,1,CBF Serie A 2026 roster
Hercules Pereira do Nascimento,HERCULES,Fluminense,1,CBF Serie A 2026 roster
Igor Rabello da Costa,Igor Rabello,Fluminense,1,CBF Serie A 2026 roster
Paulo Henrique Chagas de Lima,PH GANSO,Fluminense,1,CBF Serie A 2026 roster
Julio Cesar Lima Fidelis,Julio Fidelis,Fluminense,1,CBF Serie A 2026 roster
Gustavo Nonato Santana,Nonato,Fluminense,1,CBF Serie A 2026 roster
Wesley Nata de Freitas Prado,Wesley Nata,Fluminense,1,CBF Serie A 2026 roster
Yeferson Julio Soteldo Martinez,Soteldo,Fluminense,1,CBF Serie A 2026 roster
Claudio Rodrigues Gomes,Guga,Fluminense,1,CBF Serie A 2026 roster
Alisson Euler de Freitas Castro,Alisson,Fluminense,1,CBF Serie A 2026 roster
Marcelo de Araujo Pitaluga Filho,Marcelo Pitaluga,Fluminense,1,CBF Serie A 2026 roster
Caio Fernando de Oliveira,Caio,Gremio,1,CBF Serie A 2026 roster
Andre Henrique da Silva Martins,Andre,Gremio,1,CBF Serie A 2026 roster
Jeferson Forneck,Jefinho,Gremio,1,CBF Serie A 2026 roster
Jose David Enamorado Gomez,Enamorado,Gremio,1,CBF Serie A 2026 roster
Wagner Leonardo Calvelo de Souza,Wagner,Gremio,1,CBF Serie A 2026 roster
Gabriel Ferreira de Carvalho,Gabriel Mec,Gremio,1,CBF Serie A 2026 roster
Pedro Gabriel Crisostomo Pinheiro,Pedro Gabriel,Gremio,1,CBF Serie A 2026 roster
Riquelme Freitas dos Santos,Riquelme,Gremio,1,CBF Serie A 2026 roster
Leonel Ulises Perez,Leo Perez,Gremio,1,CBF Serie A 2026 roster
Mateus Cardoso Lemos Martins,Tete,Gremio,1,CBF Serie A 2026 roster
Allex Rodrigues Pereira da Silva,Allex,Internacional,1,CBF Serie A 2026 roster
Anthoni Spier Souza,Anthoni Souza,Internacional,1,CBF Serie A 2026 roster
Kauan Jesus Santos Oliveira,Kauan,Internacional,1,CBF Serie A 2026 roster
Alisson Rodrigues de Melo,Alisson,Internacional,1,CBF Serie A 2026 roster
Rodrigo Roman Villagra,Rodrigo Villagra,Internacional,1,CBF Serie A 2026 roster
Alerrandro Barra Mansa Realino de Souza,Alerrandro,Internacional,1,CBF Serie A 2026 roster
Rafael Santos Borre Maury,Borre,Internacional,1,CBF Serie A 2026 roster
Braian Nahuel Aguirre,Braian Aguirre,Internacional,1,CBF Serie A 2026 roster
Gabriel Ivan Mercado,Gabriel Mercado,Internacional,1,CBF Serie A 2026 roster
Felix Eduardo Torres Caicedo,Felix Torres,Internacional,1,CBF Serie A 2026 roster
Shaylon Kallyson Cardozo,Shaylon,Mirassol,1,CBF Serie A 2026 roster
Reinaldo Manoel da Silva,Reinaldo,Mirassol,1,CBF Serie A 2026 roster
Carlos Eduardo de Oliveira Alves,Carlos,Mirassol,1,CBF Serie A 2026 roster
Alex Roberto Santana Rafael,Alex Muralha,Mirassol,1,CBF Serie A 2026 roster
Gabriel Appelt Pires,Gabriel Pires,Mirassol,1,CBF Serie A 2026 roster
Igor Aquino da Silva,Igor Carius,Mirassol,1,CBF Serie A 2026 roster
Igor Marques Paciencia Cardoso,Igor,Mirassol,1,CBF Serie A 2026 roster
Georgemy Goncalves,Georgemy,Mirassol,1,CBF Serie A 2026 roster
Antonio Josenildo Rodrigues de Oliveira,Rodrigues,Mirassol,1,CBF Serie A 2026 roster
Edson Guilherme Mendes dos Santos,Edson Carioca,Mirassol,1,CBF Serie A 2026 roster
Mauricio Magalhaes Prado,Mauricio,Palmeiras,1,CBF Serie A 2026 roster
Paulo Henrique Sampaio Filho,Paulinho,Palmeiras,1,CBF Serie A 2026 roster
Riquelme Fillipi Marinho de Souza,Riquelme,Palmeiras,1,CBF Serie A 2026 roster
Ramon Sosa Acosta,RAMON SOSA,Palmeiras,1,CBF Serie A 2026 roster
Bruno de Lara Fuchs,Bruno Fuchs,Palmeiras,1,CBF Serie A 2026 roster
Agustin Giay,Giay,Palmeiras,1,CBF Serie A 2026 roster
Erick Machado Bele,Erick Bele,Palmeiras,1,CBF Serie A 2026 roster
Khellven Douglas Silva Oliveira,Khellven,Palmeiras,1,CBF Serie A 2026 roster
Gustavo Raul Gomez Portillo,Gustavo Gomez,Palmeiras,1,CBF Serie A 2026 roster
Jefte Vital da Silva Dias,Jefte,Palmeiras,1,CBF Serie A 2026 roster
Weimar Enrique Vivas Palacios,WEIMAR,Bragantino,1,CBF Serie A 2026 roster
Gabriel Girotto Franco,Gabriel,Bragantino,1,CBF Serie A 2026 roster
Vinicius Mendonca Pereira,Vinicinho,Bragantino,1,CBF Serie A 2026 roster
Fabio Silva de Freitas,Fabinho,Bragantino,1,CBF Serie A 2026 roster
Tiago Luis Volpi,Tiago Volpi,Bragantino,1,CBF Serie A 2026 roster
Fabricio Oliveira de Souza,Fabricio,Bragantino,1,CBF Serie A 2026 roster
Henry David Mosquera Sanchez,Henry Mosquera,Bragantino,1,CBF Serie A 2026 roster
Fernando Henrique Pires Costa,Fernando H.,Bragantino,1,CBF Serie A 2026 roster
Alix Vinicius de Souza Sampaio,Alix,Bragantino,1,CBF Serie A 2026 roster
Jose Maria Herrera Ares,HERRERA,Bragantino,1,CBF Serie A 2026 roster
Leonardo de Andrade Silva,Leo Andrade,Remo,1,CBF Serie A 2026 roster
Leonardo Rodrigues Conde,Leonardo,Remo,1,CBF Serie A 2026 roster
Thalisson Gabriel Pereira Moreira,Thalisson Gabriel,Remo,1,CBF Serie A 2026 roster
Cristian Marcelo Gonzalez Tassano,Cristian Tassano,Remo,1,CBF Serie A 2026 roster
Gabriel Buscariol Poveda,Poveda,Remo,1,CBF Serie A 2026 roster
Panagiots Tachtsidis,Panagiots,Remo,1,CBF Serie A 2026 roster
Jaderson Flores dos Reis,Jaderson,Remo,1,CBF Serie A 2026 roster
Michael Nicolas Ferreira Berrondo,Nicolas Ferreira,Remo,1,CBF Serie A 2026 roster
Joao Lucas de Almeida Carvalho,Joao Lucas,Remo,1,CBF Serie A 2026 roster
Francisco Jose Freire de Freitas,Freitas,Remo,1,CBF Serie A 2026 roster
Neymar da Silva Santos Junior,Neymar Jr,Santos,1,CBF Serie A 2026 roster
Gabriel Vinicius Menino,Gabriel Menino,Santos,1,CBF Serie A 2026 roster
Luan Peres Petroni,Luan Peres,Santos,1,CBF Serie A 2026 roster
Miguel Angel Terceros Acuna,Miguelito,Santos,1,CBF Serie A 2026 roster
Lautaro Ariel Diaz,Lautaro,Santos,1,CBF Serie A 2026 roster
Rafael de Andrade Gonzaga,Rafael Gonzaga,Santos,1,CBF Serie A 2026 roster
Fernando Pradella Rocha,Fernando Pradella,Santos,1,CBF Serie A 2026 roster
Gabriel Nascimento Resende Brazao,Gabriel Brazao,Santos,1,CBF Serie A 2026 roster
Mayke Rocha de Oliveira,Mayke,Santos,1,CBF Serie A 2026 roster
Thaciano Mickael da Silva,Thaciano,Santos,1,CBF Serie A 2026 roster
Matheus Doria Macedo,Matheus,Sao Paulo,1,CBF Serie A 2026 roster
Alan Javier Franco,Alan Franco,Sao Paulo,1,CBF Serie A 2026 roster
Nicolas Bosshardt,Nicolas,Sao Paulo,1,CBF Serie A 2026 roster
Rafael Pires Monteiro,Rafael,Sao Paulo,1,CBF Serie A 2026 roster
Pedro Henrique Ferreira da Silva,Pedro Ferreira,Sao Paulo,1,CBF Serie A 2026 roster
Rafael Toloi,Toloi,Sao Paulo,1,CBF Serie A 2026 roster
Damian Josue Bobadilla Benitez,Damian Bobadilla,Sao Paulo,1,CBF Serie A 2026 roster
Luan Vinicius da Silva Santos,Luan Silva,Sao Paulo,1,CBF Serie A 2026 roster
Felipe Gabriel Preis,FELIPE,Sao Paulo,1,CBF Serie A 2026 roster
Perivan dos Santos,Tete,Sao Paulo,1,CBF Serie A 2026 roster
Joao Pedro Murilo de Paula Morais,Joao Pedro,Vasco,1,CBF Serie A 2026 roster
Pablo de Paula Cardoso,Pablo de Paula,Vasco,1,CBF Serie A 2026 roster
Claudio Paul Spinelli,Spinelli,Vasco,1,CBF Serie A 2026 roster
Danilo das Neves Pinheiro,Tche Tche,Vasco,1,CBF Serie A 2026 roster
Jose Luis Rodriguez Bebanz,Puma Rodriguez,Vasco,1,CBF Serie A 2026 roster
Jair Rodrigues Junior,Jair,Vasco,1,CBF Serie A 2026 roster
Alan Gabriel Saldivia Vazquez,Alan,Vasco,1,CBF Serie A 2026 roster
Adson Ferreira Soares,Adson,Vasco,1,CBF Serie A 2026 roster
Cauan Lucas Barros da Luz,Barros,Vasco,1,CBF Serie A 2026 roster
Johan Rojas Echavarria,Rojas,Vasco,1,CBF Serie A 2026 roster
Carlos de Menezes Junior,Caca,Vitoria,1,CBF Serie A 2026 roster
Ronald dos Santos Lopes,Ronald,Vitoria,1,CBF Serie A 2026 roster
Ramon Ramos Lima,Ramon,Vitoria,1,CBF Serie A 2026 roster
Caique de Jesus Goncalves,Caique,Vitoria,1,CBF Serie A 2026 roster
Diego Tarzia,Diego Tarzia,Vitoria,1,CBF Serie A 2026 roster
Matheus Martins Fogaca de Paulo,Matheuzinho,Vitoria,1,CBF Serie A 2026 roster
Nathan Gabriel de Souza Mendes,Nathan Mendes,Vitoria,1,CBF Serie A 2026 roster
Luan Candido de Almeida,Luan Candido,Vitoria,1,CBF Serie A 2026 roster
Lucas Rodrigues da Silva,Lucas,Vitoria,1,CBF Serie A 2026 roster
Jose Vitor Silva Neves,Ze Vitor,Vitoria,1,CBF Serie A 2026 roster
